"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties"
"CHEMBL411696";"";"0";"360.40";"0";"1.50";"C7";"CCOc1cccc2c1/C(=N/Nc1ccc(S(N)(=O)=O)cc1)C(=O)N2";"IC50";"'='";"93.0";"nM";"7.03";"";"";"UO_0000065";"19.51";"0.38";"5.53";"5.72";"True";"CHEMBL661123";"Evaluated for inhibition of human cyclin dependent kinase 2";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL301";"Cyclin-dependent kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1137075";"1";"Scientific Literature";"J. Med. Chem.";"2004";"None";""
"CHEMBL4080797";"";"0";"408.51";"0";"2.82";"35";"COc1ccc(-c2cc3c(N[C@@H]4CC[C@](C)(N)C4(C)C)c(C(N)=O)cnn3c2)cn1";"Activity";"'='";"88.0";"%";"";"";"";"UO_0000187";"";"";"";"";"False";"CHEMBL4055162";"Inhibition of wild-type human full length CDK2 (M1 to L298 residues) expressed in bacterial expression system assessed as residual activity at 50 nM by Kinomescan method relative to control";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL301";"Cyclin-dependent kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4052645";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2017";"None";""
"CHEMBL186101";"";"0";"316.37";"0";"3.55";"10l";"Cc1cc(C)cc(Nc2nccc(-c3cnn4ncccc34)n2)c1";"IC50";"'='";"3.162";"nM";"8.50";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL4325176";"Inhibition of human CDK2 using biotinylated-aminohexyl-Ala-Ala-Ala-Lys-Arg-Arg-Glu-Ile-Leu-Ser-Arg-Arg-Pro-Ser(PO3)-Tyr-Arg-amide as substrate after 40 mins in presence of [gamma-32P]ATP by scintillation proximity assay";"A";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL301";"Cyclin-dependent kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4321871";"1";"Scientific Literature";"J Med Chem";"2020";"None";""
"CHEMBL4518287";"";"0";"413.50";"0";"3.97";"NU-6300";"C=CS(=O)(=O)c1ccc(Nc2nc(OCC3CCCCC3)c3nc[nH]c3n2)cc1";"K";"'='";"0.07";"/s";"";"Non standard unit for type";"";"";"";"";"";"";"False";"CHEMBL4408798";"Binding affinity to CDK2 (unknown origin) assessed as dissociation rate constant";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL301";"Cyclin-dependent kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4406837";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2019";"None";""
"CHEMBL4457608";"";"0";"338.28";"0";"2.27";"AGM-130";"O=C1Nc2ccc([N+](=O)[O-])cc2/C1=C1/Nc2ccc(O)cc2/C1=N\O";"IC50";"'='";"2.0";"nM";"8.70";"";"";"UO_0000065";"25.72";"0.48";"6.43";"6.35";"False";"CHEMBL4408759";"Inhibition of CDK2 (unknown origin)";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL301";"Cyclin-dependent kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4406837";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2019";"None";""
"CHEMBL4527978";"";"0";"306.37";"0";"3.67";"19";"CC/C=N/c1c(C#N)c2n(c1C(=O)Nc1ccccc1)CCC2";"IC50";"'='";"580.0";"nM";"6.24";"";"";"UO_0000065";"20.36";"0.37";"2.57";"8.89";"False";"CHEMBL4315522";"Inhibition of CDK2 (unknown origin) incubated for 40 mins by ADP-glo assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL301";"Cyclin-dependent kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4312005";"1";"Scientific Literature";"Eur J Med Chem";"2020";"None";""
"CHEMBL496754";"";"0";"423.52";"0";"3.24";"13";"O=C(Nc1c[nH]nc1-c1nc2cc(CN3CCOCC3)ccc2[nH]1)NC1CCCCC1";"IC50";"'='";"1200.0";"nM";"5.92";"";"";"UO_0000065";"13.98";"0.26";"2.68";"5.34";"False";"CHEMBL1009883";"Inhibition of CDK2/Cyclin A";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL301";"Cyclin-dependent kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1139387";"1";"Scientific Literature";"J. Med. Chem.";"2009";"None";""
"CHEMBL233338";"";"0";"439.59";"0";"4.24";"16";"CN(C(=O)C1CCCCC1)c1ccc2c(c1)nc(NC(=O)c1cccs1)n2CCCN";"Inhibition";"'='";"7.0";"%";"";"";"";"UO_0000187";"";"";"";"";"False";"CHEMBL895285";"Inhibition of CDK2 at 10 uM";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL301";"Cyclin-dependent kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1148883";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2007";"None";""
"CHEMBL234012";"";"0";"426.40";"0";"4.82";"47";"O=C(Nc1ccc(OC(F)(F)F)cc1)c1nc2ccccc2n1CCc1ccncc1";"Activity";"'>'";"30.0";"%";"";"";"";"UO_0000187";"";"";"";"";"False";"CHEMBL897524";"Inhibition of Cdk2 at 10 uM";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL301";"Cyclin-dependent kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1148870";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2007";"None";""
"CHEMBL234009";"";"0";"352.39";"0";"2.79";"34";"COc1ccc(NC(=O)c2ccnn2CCc2ccncc2)cc1OC";"Activity";"'>'";"30.0";"%";"";"";"";"UO_0000187";"";"";"";"";"False";"CHEMBL897524";"Inhibition of Cdk2 at 10 uM";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL301";"Cyclin-dependent kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1148870";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2007";"None";""
"CHEMBL236420";"";"0";"334.42";"0";"3.90";"24";"CC(C)c1ccc(NC(=O)c2ccnn2CCc2ccncc2)cc1";"Activity";"'>'";"30.0";"%";"";"";"";"UO_0000187";"";"";"";"";"False";"CHEMBL897524";"Inhibition of Cdk2 at 10 uM";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL301";"Cyclin-dependent kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1148870";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2007";"None";""
"CHEMBL392934";"";"0";"360.34";"0";"3.79";"18";"O=C(Nc1ccc(C(F)(F)F)cc1)c1ccnn1CCc1ccncc1";"Activity";"'>'";"30.0";"%";"";"";"";"UO_0000187";"";"";"";"";"False";"CHEMBL897524";"Inhibition of Cdk2 at 10 uM";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL301";"Cyclin-dependent kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1148870";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2007";"None";""
"CHEMBL234864";"";"0";"385.85";"0";"4.05";"14";"COc1ccc(CCn2nccc2C(=O)Nc2ccc(Cl)cc2)cc1OC";"Activity";"'>'";"30.0";"%";"";"";"";"UO_0000187";"";"";"";"";"False";"CHEMBL897524";"Inhibition of Cdk2 at 10 uM";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL301";"Cyclin-dependent kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1148870";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2007";"None";""
"CHEMBL397322";"";"0";"326.79";"0";"3.43";"10";"O=C(Nc1ccc(Cl)cc1)c1ccnn1CCc1cccnc1";"Activity";"'>'";"30.0";"%";"";"";"";"UO_0000187";"";"";"";"";"False";"CHEMBL897524";"Inhibition of Cdk2 at 10 uM";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL301";"Cyclin-dependent kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1148870";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2007";"None";""
"CHEMBL1234833";"";"0";"385.47";"0";"1.59";"4k, BS-194";"CC(C)c1cnn2c(NCc3ccccc3)cc(N[C@@H](CO)[C@H](O)CO)nc12";"Inhibition";"";"";"%";"";"";"Active";"";"";"";"";"";"False";"CHEMBL1805550";"Inhibition of CDK2-mediated phosphorylation of RB at Thr821 in human HCT116 cells after 4 hrs by immunoblotting analysis";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HCT-116";"None";"";"";"";"CHEMBL301";"Cyclin-dependent kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1800061";"1";"Scientific Literature";"J. Med. Chem.";"2010";"CHEMBL3308372";""
"CHEMBL1234833";"";"0";"385.47";"0";"1.59";"4k, BS-194";"CC(C)c1cnn2c(NCc3ccccc3)cc(N[C@@H](CO)[C@H](O)CO)nc12";"Inhibition";"";"";"%";"";"";"Active";"";"";"";"";"";"False";"CHEMBL1805545";"Inhibition of CDK2-mediated phosphorylation of RB at Ser795 in human HCT116 cells after 24 hrs by immunoblotting analysis";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HCT-116";"None";"";"";"";"CHEMBL301";"Cyclin-dependent kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1800061";"1";"Scientific Literature";"J. Med. Chem.";"2010";"CHEMBL3308372";""
"CHEMBL151";"LUTEOLIN";"2";"286.24";"0";"2.28";"3";"O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12";"IC50";"'='";"20000.0";"nM";"4.70";"";"";"UO_0000065";"16.42";"0.31";"2.42";"4.23";"False";"CHEMBL897015";"Inhibition of CDK2";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL301";"Cyclin-dependent kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1148833";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2007";"None";""
"CHEMBL232939";"";"0";"395.37";"0";"2.93";"13c";"Cc1cc(N2C(=O)CCCC2=O)c2oc(-c3ccc(O)c(O)c3)c(O)c(=O)c2c1";"IC50";"'='";"4400.0";"nM";"5.36";"";"";"UO_0000065";"13.55";"0.25";"2.43";"4.18";"False";"CHEMBL897015";"Inhibition of CDK2";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL301";"Cyclin-dependent kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1148833";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2007";"None";""
"CHEMBL232737";"";"0";"382.42";"0";"2.64";"12e";"Cc1cc(N2CCN(C)CC2)c2oc(-c3ccc(O)c(O)c3)c(O)c(=O)c2c1";"IC50";"'='";"640.0";"nM";"6.19";"";"";"UO_0000065";"16.20";"0.30";"3.55";"6.36";"False";"CHEMBL897015";"Inhibition of CDK2";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL301";"Cyclin-dependent kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1148833";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2007";"None";""
"CHEMBL188381";"GW806742X";"0";"573.56";"2";"5.18";"GW806742X";"CN(c1ccc(NC(=O)Nc2ccc(OC(F)(F)F)cc2)cc1)c1ccnc(Nc2cccc(S(N)(=O)=O)c2)n1";"Inhibition";"'='";"7.47";"%";"";"";"";"UO_0000187";"";"";"";"";"False";"CHEMBL1962023";"GSK_PKIS: CDK2/cyclinE mean inhibition at 1 uM [Nanosyn]";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL301";"Cyclin-dependent kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1961873";"16";"GSK Published Kinase Inhibitor Set";"";"";"None";""
"CHEMBL208363";"";"0";"411.39";"1";"5.07";"30";"FC(F)(F)c1ccc(Nc2nnc(-c3ccncc3CCc3ccncc3)o2)cc1";"PI";"'>'";"30.0";"%";"";"";"";"UO_0000187";"";"";"";"";"False";"CHEMBL864977";"Inhibition of CDK2 at 10 uM";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL301";"Cyclin-dependent kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1146931";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2006";"None";""
"CHEMBL207975";"";"0";"385.47";"1";"5.18";"22";"CC(C)c1ccc(Nc2nnc(-c3ccncc3CCc3ccncc3)o2)cc1";"PI";"'>'";"30.0";"%";"";"";"";"UO_0000187";"";"";"";"";"False";"CHEMBL864977";"Inhibition of CDK2 at 10 uM";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL301";"Cyclin-dependent kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1146931";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2006";"None";""
"CHEMBL205684";"";"0";"468.44";"1";"5.80";"13";"FC(F)(F)c1cccc(Nc2nnc(-c3ccncc3CCCc3ccc4c(c3)OCO4)o2)c1";"PI";"'>'";"30.0";"%";"";"";"";"UO_0000187";"";"";"";"";"False";"CHEMBL864977";"Inhibition of CDK2 at 10 uM";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL301";"Cyclin-dependent kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1146931";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2006";"None";""
"CHEMBL188048";"";"0";"216.20";"0";"0.60";"SB-736290";"Cn1c(-c2nonc2N)nc2cnccc21";"Inhibition";"'='";"11.64";"%";"";"";"";"UO_0000187";"";"";"";"";"False";"CHEMBL1962023";"GSK_PKIS: CDK2/cyclinE mean inhibition at 1 uM [Nanosyn]";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL301";"Cyclin-dependent kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1961873";"16";"GSK Published Kinase Inhibitor Set";"";"";"None";""
"CHEMBL1909344";"";"0";"372.86";"0";"2.30";"SB-678557-A";"CN1CCC(C(=O)Nc2n[nH]c3nnc(-c4ccccc4)cc23)CC1.Cl";"Inhibition";"'='";"5.55";"%";"";"";"";"UO_0000187";"";"";"";"";"False";"CHEMBL1962022";"GSK_PKIS: CDK2/cyclinE mean inhibition at 0.1 uM [Nanosyn]";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL301";"Cyclin-dependent kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1961873";"16";"GSK Published Kinase Inhibitor Set";"";"";"None";""
"CHEMBL1834330";"";"0";"453.47";"0";"3.00";"43";"Nc1c(F)c(NCCNc2ccccn2)c2c3c1c(=O)c(C(=O)O)cn3C1(CCCC1)CO2";"Inhibition";"'<'";"35.0";"%";"";"";"";"UO_0000187";"";"";"";"";"False";"CHEMBL1837576";"Inhibition of human CDK2 in HL60 cells lysate at 10 uM using post probe-labeling by LC-MS/MS analysis relative to control";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"HL-60";"None";"";"";"";"CHEMBL301";"Cyclin-dependent kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1833925";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2011";"CHEMBL3307654";""
"CHEMBL482326";"GSK-1030062A";"0";"505.52";"2";"5.40";"GSK1030062A";"COc1cc2ncn(-c3cc(OCc4ccccc4C(F)(F)F)c(C(=O)N(C)C)s3)c2cc1OC";"Inhibition";"'='";"0.54";"%";"";"";"";"UO_0000187";"";"";"";"";"False";"CHEMBL1962023";"GSK_PKIS: CDK2/cyclinE mean inhibition at 1 uM [Nanosyn]";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL301";"Cyclin-dependent kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1961873";"16";"GSK Published Kinase Inhibitor Set";"";"";"None";""
"CHEMBL475761";"GW784684X";"0";"564.09";"2";"6.81";"GW784684X";"CN1CCN(Cc2ccc(-c3cc4ncnc(Nc5ccc(OCc6cccc(F)c6)c(Cl)c5)c4s3)o2)CC1";"Inhibition";"'='";"5.88";"%";"";"";"";"UO_0000187";"";"";"";"";"False";"CHEMBL1962021";"GSK_PKIS: CDK2/cyclinA mean inhibition at 1 uM [Nanosyn]";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL301";"Cyclin-dependent kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1961873";"16";"GSK Published Kinase Inhibitor Set";"";"";"None";""
"CHEMBL319467";"";"0";"402.48";"0";"2.70";"1, NU6102";"NS(=O)(=O)c1ccc(Nc2nc(OCC3CCCCC3)c3nc[nH]c3n2)cc1";"Ratio IC50";"'='";"200.0";"";"";"";"";"";"";"";"";"";"False";"CHEMBL867447";"Ratio of IC50 for CDK4 to CDK2/CycA3";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL301";"Cyclin-dependent kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1149496";"1";"Scientific Literature";"J. Med. Chem.";"2006";"None";""
"CHEMBL319467";"";"0";"402.48";"0";"2.70";"1, NU6102";"NS(=O)(=O)c1ccc(Nc2nc(OCC3CCCCC3)c3nc[nH]c3n2)cc1";"IC50";"'='";"8.9";"nM";"8.05";"";"";"UO_0000065";"20.00";"0.39";"5.35";"5.92";"False";"CHEMBL866170";"Inhibition of CDK2 K89T mutant/CycA3";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"P24941";"K89T";"CHEMBL301";"Cyclin-dependent kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1149496";"1";"Scientific Literature";"J. Med. Chem.";"2006";"None";""
"CHEMBL1794061";"GW627834A";"0";"297.74";"0";"3.96";"GW627834A";"Cl.N#Cc1cccc(Nc2ncc(-c3ccccc3)o2)c1";"Inhibition";"'='";"44.43";"%";"";"";"";"UO_0000187";"";"";"";"";"False";"CHEMBL1962021";"GSK_PKIS: CDK2/cyclinA mean inhibition at 1 uM [Nanosyn]";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL301";"Cyclin-dependent kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1961873";"16";"GSK Published Kinase Inhibitor Set";"";"";"None";""
"CHEMBL391229";"";"0";"383.45";"0";"3.13";"108";"O=C1Nc2ccc3ncsc3c2/C1=C/Nc1ccc2c(c1)CS(=O)(=O)C2";"IC50";"'='";"14.0";"nM";"7.85";"";"";"UO_0000065";"20.48";"0.41";"4.72";"8.91";"False";"CHEMBL661125";"Inhibitory activity against human cyclin-dependent kinase 2 (CDK2)";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL301";"Cyclin-dependent kinase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1134300";"1";"Scientific Literature";"J. Med. Chem.";"2001";"None";""
